customer_id,month,mrr,churned
CUST-0001,2024-02-01,908.78,0
CUST-0001,2024-03-01,908.78,0
CUST-0001,2024-04-01,908.78,0
CUST-0001,2024-05-01,908.78,0
CUST-0001,2024-06-01,908.78,0
CUST-0001,2024-07-01,908.78,0
CUST-0001,2024-08-01,908.78,0
CUST-0001,2024-09-01,908.78,0
CUST-0001,2024-10-01,908.78,0
CUST-0001,2024-11-01,908.78,0
CUST-0001,2024-12-01,908.78,0
CUST-0002,2024-02-01,31.34,0
CUST-0002,2024-03-01,31.34,0
CUST-0002,2024-04-01,31.34,0
CUST-0002,2024-05-01,31.34,0
CUST-0002,2024-06-01,37.56,0
CUST-0002,2024-07-01,37.56,0
CUST-0002,2024-08-01,37.56,0
CUST-0002,2024-09-01,37.56,0
CUST-0002,2024-10-01,37.56,0
CUST-0002,2024-11-01,37.56,0
CUST-0002,2024-12-01,37.56,0
CUST-0003,2024-02-01,114.17,0
CUST-0003,2024-03-01,114.17,0
CUST-0003,2024-04-01,136.72,0
CUST-0003,2024-05-01,136.72,0
CUST-0003,2024-06-01,136.72,0
CUST-0003,2024-07-01,114.68,0
CUST-0003,2024-08-01,114.68,0
CUST-0003,2024-09-01,114.68,0
CUST-0003,2024-10-01,114.68,0
CUST-0003,2024-11-01,114.68,0
CUST-0003,2024-12-01,114.68,0
CUST-0004,2024-02-01,197.74,0
CUST-0004,2024-03-01,197.74,0
CUST-0004,2024-04-01,235.53,0
CUST-0004,2024-05-01,235.53,0
CUST-0004,2024-06-01,235.53,0
CUST-0004,2024-07-01,235.53,0
CUST-0004,2024-08-01,235.53,0
CUST-0004,2024-09-01,235.53,0
CUST-0004,2024-10-01,235.53,0
CUST-0004,2024-11-01,235.53,0
CUST-0004,2024-12-01,235.53,0
CUST-0005,2024-02-01,616.05,0
CUST-0005,2024-03-01,616.05,0
CUST-0005,2024-04-01,616.05,0
CUST-0005,2024-05-01,616.05,0
CUST-0005,2024-06-01,616.05,0
CUST-0005,2024-07-01,549.59,0
CUST-0005,2024-08-01,549.59,0
CUST-0005,2024-09-01,549.59,0
CUST-0005,2024-10-01,549.59,0
CUST-0005,2024-11-01,549.59,0
CUST-0005,2024-12-01,648.95,0
CUST-0006,2024-02-01,580.82,0
CUST-0006,2024-03-01,580.82,0
CUST-0006,2024-04-01,580.82,0
CUST-0006,2024-05-01,580.82,0
CUST-0006,2024-06-01,580.82,0
CUST-0006,2024-07-01,580.82,0
CUST-0006,2024-08-01,580.82,0
CUST-0006,2024-09-01,580.82,0
CUST-0006,2024-10-01,580.82,0
CUST-0006,2024-11-01,580.82,0
CUST-0006,2024-12-01,580.82,0
CUST-0007,2024-02-01,1447.81,0
CUST-0007,2024-03-01,1447.81,0
CUST-0007,2024-04-01,1447.81,0
CUST-0007,2024-05-01,1447.81,0
CUST-0007,2024-06-01,1447.81,0
CUST-0007,2024-07-01,1447.81,0
CUST-0007,2024-08-01,1447.81,0
CUST-0007,2024-09-01,1447.81,0
CUST-0007,2024-10-01,1187.9,0
CUST-0007,2024-11-01,1187.9,0
CUST-0007,2024-12-01,1187.9,0
CUST-0008,2024-02-01,113.65,0
CUST-0008,2024-03-01,113.65,0
CUST-0008,2024-04-01,119.86,0
CUST-0008,2024-05-01,119.86,0
CUST-0008,2024-06-01,119.86,0
CUST-0008,2024-07-01,119.86,0
CUST-0008,2024-08-01,119.86,0
CUST-0008,2024-09-01,119.86,0
CUST-0008,2024-10-01,139.79,0
CUST-0008,2024-11-01,139.79,0
CUST-0008,2024-12-01,126.91,0
CUST-0009,2024-02-01,379.1,0
CUST-0009,2024-03-01,445.26,0
CUST-0009,2024-04-01,445.26,0
CUST-0009,2024-05-01,445.26,0
CUST-0009,2024-06-01,445.26,0
CUST-0009,2024-07-01,445.26,0
CUST-0009,2024-08-01,445.26,0
CUST-0009,2024-09-01,445.26,0
CUST-0009,2024-10-01,445.26,0
CUST-0009,2024-11-01,445.26,0
CUST-0009,2024-12-01,445.26,0
CUST-0010,2024-02-01,98.2,0
CUST-0010,2024-03-01,98.2,0
CUST-0010,2024-04-01,98.2,0
CUST-0010,2024-05-01,98.2,0
CUST-0010,2024-06-01,98.2,0
CUST-0010,2024-07-01,98.2,0
CUST-0010,2024-08-01,117.29,0
CUST-0010,2024-09-01,117.29,0
CUST-0010,2024-10-01,117.29,0
CUST-0010,2024-11-01,117.29,0
CUST-0010,2024-12-01,117.29,0
CUST-0011,2024-02-01,329.46,0
CUST-0011,2024-03-01,329.46,0
CUST-0011,2024-04-01,329.46,0
CUST-0011,2024-05-01,329.46,0
CUST-0011,2024-06-01,329.46,0
CUST-0011,2024-07-01,371.41,0
CUST-0011,2024-08-01,371.41,0
CUST-0011,2024-09-01,371.41,0
CUST-0011,2024-10-01,340.26,0
CUST-0011,2024-11-01,340.26,0
CUST-0011,2024-12-01,340.26,0
CUST-0012,2024-02-01,292.72,0
CUST-0012,2024-03-01,292.72,0
CUST-0012,2024-04-01,292.72,0
CUST-0012,2024-05-01,292.72,0
CUST-0012,2024-06-01,292.72,0
CUST-0012,2024-07-01,292.72,0
CUST-0012,2024-08-01,292.72,0
CUST-0012,2024-09-01,311.73,0
CUST-0012,2024-10-01,311.73,0
CUST-0012,2024-11-01,311.73,0
CUST-0012,2024-12-01,294.18,0
CUST-0013,2024-02-01,110.84,0
CUST-0013,2024-03-01,110.84,0
CUST-0013,2024-04-01,110.84,0
CUST-0013,2024-05-01,110.84,0
CUST-0013,2024-06-01,110.84,0
CUST-0013,2024-07-01,110.84,0
CUST-0013,2024-08-01,110.84,0
CUST-0013,2024-09-01,110.84,0
CUST-0013,2024-10-01,110.84,0
CUST-0013,2024-11-01,124.31,0
CUST-0013,2024-12-01,124.31,0
CUST-0014,2024-02-01,97.6,0
CUST-0014,2024-03-01,97.6,0
CUST-0014,2024-04-01,97.6,0
CUST-0014,2024-05-01,97.6,0
CUST-0014,2024-06-01,97.6,0
CUST-0014,2024-07-01,107.07,0
CUST-0014,2024-08-01,107.07,0
CUST-0014,2024-09-01,107.07,0
CUST-0014,2024-10-01,107.07,0
CUST-0014,2024-11-01,107.07,0
CUST-0014,2024-12-01,122.86,0
CUST-0015,2024-02-01,991.47,0
CUST-0015,2024-03-01,991.47,0
CUST-0015,2024-04-01,991.47,0
CUST-0015,2024-05-01,991.47,0
CUST-0015,2024-06-01,1152.95,0
CUST-0015,2024-07-01,1152.95,0
CUST-0015,2024-08-01,1152.95,0
CUST-0015,2024-09-01,1152.95,0
CUST-0015,2024-10-01,1306.3,0
CUST-0015,2024-11-01,1306.3,0
CUST-0015,2024-12-01,1306.3,0
CUST-0016,2024-02-01,346.81,0
CUST-0016,2024-03-01,346.81,0
CUST-0016,2024-04-01,346.81,0
CUST-0016,2024-05-01,346.81,0
CUST-0016,2024-06-01,346.81,0
CUST-0016,2024-07-01,346.81,0
CUST-0016,2024-08-01,346.81,0
CUST-0016,2024-09-01,346.81,0
CUST-0016,2024-10-01,346.81,0
CUST-0016,2024-11-01,346.81,0
CUST-0016,2024-12-01,346.81,0
CUST-0017,2024-02-01,362.07,0
CUST-0017,2024-03-01,362.07,0
CUST-0017,2024-04-01,383.84,0
CUST-0017,2024-05-01,310.55,0
CUST-0017,2024-06-01,310.55,0
CUST-0017,2024-07-01,310.55,0
CUST-0017,2024-08-01,310.55,0
CUST-0017,2024-09-01,351.07,0
CUST-0017,2024-10-01,351.07,0
CUST-0017,2024-11-01,351.07,0
CUST-0017,2024-12-01,351.07,0
CUST-0018,2024-02-01,867.25,0
CUST-0018,2024-03-01,867.25,0
CUST-0018,2024-04-01,867.25,0
CUST-0018,2024-05-01,867.25,0
CUST-0018,2024-06-01,867.25,0
CUST-0018,2024-07-01,967.13,0
CUST-0018,2024-08-01,967.13,0
CUST-0018,2024-09-01,967.13,0
CUST-0018,2024-10-01,967.13,0
CUST-0018,2024-11-01,967.13,0
CUST-0018,2024-12-01,967.13,0
CUST-0019,2024-02-01,904.29,0
CUST-0019,2024-03-01,904.29,0
CUST-0019,2024-04-01,904.29,0
CUST-0019,2024-05-01,904.29,0
CUST-0019,2024-06-01,832.91,0
CUST-0019,2024-07-01,832.91,0
CUST-0019,2024-08-01,832.91,0
CUST-0019,2024-09-01,931.43,0
CUST-0019,2024-10-01,931.43,0
CUST-0019,2024-11-01,931.43,0
CUST-0019,2024-12-01,931.43,0
CUST-0020,2024-02-01,74.39,0
CUST-0020,2024-03-01,74.39,0
CUST-0020,2024-04-01,87.74,0
CUST-0020,2024-05-01,87.74,0
CUST-0020,2024-06-01,87.74,0
CUST-0020,2024-07-01,87.74,0
CUST-0020,2024-08-01,87.74,0
CUST-0020,2024-09-01,87.74,0
CUST-0020,2024-10-01,87.74,0
CUST-0020,2024-11-01,87.74,0
CUST-0020,2024-12-01,97.03,0
